Word,IPA,Translation,Meaning,Meaning_Translation,Example,Example_Translation,Image,Sound,Sound_Meaning,Sound_Example
assimilate,əˈsɪməleɪt,同化,To assimilate is to adopt the ways of a new culture and fully become a part of it.,「同化」是指採納新文化的方式並完全融入其中。,When the family moves to the US they will assimilate into American culture.,這家人搬到美國後會融入美國文化。,07_1921.jpg,07_1921.mp3,07_1921_meaning.mp3,07_1921_example.mp3
attempt,əˈtempt,嘗試,"An attempt is an act of trying to do something, especially something difficult.",「嘗試」是指努力做某事，尤其是困難的事。,This is Ben’s second attempt to climb Mt. Everest.,這是班第二次嘗試攀登聖母峰。,07_1922.jpg,07_1922.mp3,07_1922_meaning.mp3,07_1922_example.mp3
case,keɪs,案例,A case is an example of a particular situation or of something happening.,「案例」是某種特定情況或事件的例子。,"A deposit of $1,000 is required, but in this case, we will accept half.",通常需付1000美元押金，但這次我們接受一半。,07_1923.jpg,07_1923.mp3,07_1923_meaning.mp3,07_1923_example.mp3
cease,siːs,停止,To cease is to stop doing something or to stop something happening.,「停止」是指不再做某事或使某事不再發生。,The rain will cease in the afternoon.,雨會在下午停止。,07_1924.jpg,07_1924.mp3,07_1924_meaning.mp3,07_1924_example.mp3
danger,ˈdeɪndʒər,危險,"Danger is the possibility that someone or something will be harmed, destroyed, or killed.",「危險」是某人或某物可能受傷、被毀或喪命的可能性。,Smoking cigarettes is a danger to health.,吸菸危害健康。,07_1925.jpg,07_1925.mp3,07_1925_meaning.mp3,07_1925_example.mp3
devastating,ˈdevəsteɪtɪŋ,毀滅性的,"If something is devastating, it causes great harm or damage to something or someone.",「毀滅性的」事物對某人或某物造成巨大傷害或損害。,The tsunami had devastating effects on the seaside village.,海嘯對海邊村落造成毀滅性影響。,07_1926.jpg,07_1926.mp3,07_1926_meaning.mp3,07_1926_example.mp3
diversity,daɪˈvɜːrsəti,多樣性,"Diversity is the quality or state of having many different forms, types, ideas, etc.",「多樣性」是擁有許多不同形式、類型、想法等的特質或狀態。,My company puts an emphasis on the importance on having cultural diversity.,我公司重視文化多元性。,07_1927.jpg,07_1927.mp3,07_1927_meaning.mp3,07_1927_example.mp3
earthquake,ˈɜːrθkweɪk,地震,An earthquake is a sudden shaking of a part of the Earth’s surface that often causes a lot of damage.,「地震」是地表突然晃動，常造成嚴重損害。,The earthquake caused the road to crack in multiple places.,地震導致道路多處龜裂。,07_1928.jpg,07_1928.mp3,07_1928_meaning.mp3,07_1928_example.mp3
endangered,ɪnˈdeɪndʒərd,瀕危的,"If something is endangered, it has become very rare and may eventually die out altogether.",「瀕危的」事物已非常稀少，最終可能完全消失。,The whooping crane is an endangered species.,美洲鶴是瀕危物種。,07_1929.jpg,07_1929.mp3,07_1929_meaning.mp3,07_1929_example.mp3
extinction,ɪkˈstɪŋkʃn,滅絕,"Extinction is when a particular animal, plant, type of person, custom, skill, etc. stops existing.",「滅絕」是指某種動物、植物、人物類型、習俗、技能等不再存在。,The extinction of the dodo bird occurred in the 1600s.,渡渡鳥在17世紀滅絕。,07_1930.jpg,07_1930.mp3,07_1930_meaning.mp3,07_1930_example.mp3
forever,fərˈevər,永遠,We use forever in place of “for all future time” or “for a very long time.”,「永遠」用來表示「從今往後所有時間」或「非常長久」。,Michelle and Tanya want to be best friends forever.,蜜雪兒和塔尼婭想永遠當最好的朋友。,07_1931.jpg,07_1931.mp3,07_1931_meaning.mp3,07_1931_example.mp3
generally,ˈdʒenrəli,通常,We use generally in place of “in most cases” or “to most people.”,「一般來說」用來表示「大多數情況下」或「對大多數人而言」。,The suburbs are generally viewed as a good place to raise children.,郊區普遍被視為適合養育孩子的地方。,07_1932.jpg,07_1932.mp3,07_1932_meaning.mp3,07_1932_example.mp3
genocide,ˈdʒenəsaɪd,種族滅絕,Genocide is the deliberate murder of a whole group or race of people.,「種族滅絕」是蓄意屠殺整個族群或種族。,"As a result of the genocide, many children have been orphaned.",因種族滅絕，許多孩子成為孤兒。,07_1933.jpg,07_1933.mp3,07_1933_meaning.mp3,07_1933_example.mp3
hit,hɪt,打擊,To hit is to affect someone or something in a harmful or dangerous way.,「打擊」是指以有害或危險的方式影響某人或某物。,The ship was hit by a violent storm.,船遭猛烈風暴襲擊。,07_1934.jpg,07_1934.mp3,07_1934_meaning.mp3,07_1934_example.mp3
lose,luːz,失去,To lose is to have something that is important or necessary taken from you or destroyed.,「失去」是指重要的或必需的東西被奪走或毀壞。,The family never thought they’d lose everything to fire.,這家人從沒想過會因火災失去一切。,07_1935.jpg,07_1935.mp3,07_1935_meaning.mp3,07_1935_example.mp3
native,ˈneɪtɪv,本地的,"If something is native, it refers to the place someone was born and raised.",「本土的」事物指某人出生與成長的地方。,Carlos is a hero in his native country of Brazil.,卡洛斯在他祖國巴西是英雄。,07_1936.jpg,07_1936.mp3,07_1936_meaning.mp3,07_1936_example.mp3
percent,pərsnt,百分比,A percent is an amount that is equal to one one-hundredth of something.,「百分比」是某物的百分之一。,Liz needs to get 80 percent on her test to pass the course.,莉茲考試需考80分才能通過課程。,07_1937.jpg,07_1937.mp3,07_1937_meaning.mp3,07_1937_example.mp3
reason,ˈriːzn,理由,"A reason is a statement or fact that explains why something is the way it is, or why someone does, thinks, or says something.",「理由」是解釋某事為何如此，或某人為何如此做、想、說的陳述或事實。,The reason Eric is late for work is that he forgot to set his alarm.,艾瑞克上班遲到是因為忘記設鬧鐘。,07_1938.jpg,07_1938.mp3,07_1938_meaning.mp3,07_1938_example.mp3
reference,ˈrefrəns,參考,A reference is the act of referring to something or someone.,「引用」是指提及某事或某人。,My supervisor made a reference to the data I’d collected.,我的主管提到我收集的資料。,07_1939.jpg,07_1939.mp3,07_1939_meaning.mp3,07_1939_example.mp3
urban,ˈɜːrbən,都市的,"If something is urban, it is related to towns and cities.",「都市的」事物與城鎮和城市有關。,It is common to see tall buildings in urban areas.,都市地區常見高樓大廈。,07_1940.jpg,07_1940.mp3,07_1940_meaning.mp3,07_1940_example.mp3
burn,bɜːrn,燃燒,To burn is to use something as a source of energy.,「燃燒」是指將某物作為能源使用。,Running is good exercise for people who want to burn fat and lose weight.,跑步是想燃脂減重者的良好運動。,08_1941.jpg,08_1941.mp3,08_1941_meaning.mp3,08_1941_example.mp3
check,tʃek,檢查,"To check is to ask someone whether something is correct, true, or allowed.",「確認」是指詢問某事是否正確、真實或被允許。,Peter wants to check with the teacher to see if he is doing the assignment right.,彼得想問老師確認作業是否正確。,08_1942.jpg,08_1942.mp3,08_1942_meaning.mp3,08_1942_example.mp3
coconut,ˈkəʊkənʌt,椰子,A coconut is a large brown fruit that has a hard shell and white flesh.,「椰子」是外殼堅硬、果肉白色的大型棕色水果。,A coconut produces a healthy oil.,椰子能製作出健康油脂。,08_1943.jpg,08_1943.mp3,08_1943_meaning.mp3,08_1943_example.mp3
epilepsy,ˈepɪlepsi,癲癇,Epilepsy is a medical condition that affects the brain and can make someone become unconscious or unable to control their movement for a short time.,「癲癇」是一種影響大腦的疾病，可能使人短暫失去意識或無法控制動作。,The doctor diagnosed the patient with epilepsy.,醫生診斷病人患有癲癇。,08_1944.jpg,08_1944.mp3,08_1944_meaning.mp3,08_1944_example.mp3
fat,fæt,脂肪,Fat is an oily solid or liquid substance in food.,「脂肪」是食物中油性的固體或液體物質。,"The fat contained in salmon, avocados, and nuts is healthy.",鮭魚、酪梨和堅果中的脂肪是健康的。,08_1945.jpg,08_1945.mp3,08_1945_meaning.mp3,08_1945_example.mp3
gain,ɡeɪn,獲得,"To gain is to gradually get more and more of a quality, feeling, etc.",「獲得」是指逐漸擁有更多某種特質、感受等。,Winning the award will help Steven gain confidence.,獲獎有助於史蒂芬建立自信。,08_1946.jpg,08_1946.mp3,08_1946_meaning.mp3,08_1946_example.mp3
glucose,ˈɡluːkəʊz,葡萄糖,Glucose is a natural form of sugar that exists in plants and fruit.,「葡萄糖」是存在於植物與水果中的天然糖分。,People with diabetes need to check their glucose levels.,糖尿病患者需監測血糖。,08_1947.jpg,08_1947.mp3,08_1947_meaning.mp3,08_1947_example.mp3
high,haɪ,高的,"When something is high, it is greater than usual in amount, number, or degree.",「高的」事物在數量、數目或程度上高於平常。,The thermometer shows a high body temperature.,體溫計顯示高燒。,08_1948.jpg,08_1948.mp3,08_1948_meaning.mp3,08_1948_example.mp3
keep,kiːp,保持,"To keep is to stay in a particular state, condition, or position.",「保持」是指維持在特定狀態、條件或位置。,Brian needs to keep working in order to finish his project on time.,布萊恩需持續工作才能如期完成專案。,08_1949.jpg,08_1949.mp3,08_1949_meaning.mp3,08_1949_example.mp3
known,nəʊn,已知的,"If something is known, it is something that people are aware of or have discovered.",「已知的」事物是人們已知曉或發現的。,Bob is known throughout the neighborhood as a burglars.,鮑伯在社區以小偷聞名。,08_1950.jpg,08_1950.mp3,08_1950_meaning.mp3,08_1950_example.mp3
liver,ˈlɪvər,肝臟,The liver is a large organ in the body that produces bile and cleans blood.,「肝臟」是體內產生膽汁並淨化血液的大型器官。,The professor showed us what the human liver looks like.,教授向我們展示人類肝臟的樣子。,08_1951.jpg,08_1951.mp3,08_1951_meaning.mp3,08_1951_example.mp3
low,ləʊ,低的,"If something is low, it is smaller than usual in amount, number, or degree.",「低的」事物在數量、數目或程度上低於平常。,The temperature gets very low in the winter.,冬天溫度很低。,08_1952.jpg,08_1952.mp3,08_1952_meaning.mp3,08_1952_example.mp3
management,ˈmænɪdʒmənt,管理,Management is the act or process of controlling and dealing with something.,「管理」是控制與處理某事的行為或過程。,Practicing yoga is good for stress management.,練瑜伽有助於壓力管理。,08_1953.jpg,08_1953.mp3,08_1953_meaning.mp3,08_1953_example.mp3
metabolic,ˌmetəˈbɑːlɪk,代謝的,"When something is metabolic, it relates to the chemical process in which plants or animals use food and water to make energy.",「代謝的」事物與動植物利用食物和水產生能量的化學過程有關。,Fish have a very high metabolic rate.,魚類的新陳代謝率很高。,08_1954.jpg,08_1954.mp3,08_1954_meaning.mp3,08_1954_example.mp3
oil,ɔɪl,油,"Oil is a smooth, thick liquid made from plants or some animals, and is especially in cooking.",「油」是從植物或某些動物提取的滑順濃稠液體，常用於烹飪。,The chef put the oil in the pan and heated it up.,主廚把油倒進鍋裡加熱。,08_1955.jpg,08_1955.mp3,08_1955_meaning.mp3,08_1955_example.mp3
olive,ˈɑːlɪv,橄欖,An olive is a small egg-shaped black or green fruit.,「橄欖」是小型橢圓形的黑色或綠色水果。,I prepared a bowl of olives for my guests.,我為客人準備了一碗橄欖。,08_1956.jpg,08_1956.mp3,08_1956_meaning.mp3,08_1956_example.mp3
performance,pərˈfɔːrməns,表現,"Performance is how well someone or something functions, works, etc.",「表現」是指某人或某物運作或發揮的成效。,Liam’s performance in the race was not his best.,連恩在比賽中的表現不是最佳狀態。,08_1957.jpg,08_1957.mp3,08_1957_meaning.mp3,08_1957_example.mp3
powerful,ˈpaʊərfl,強大的,"If something is powerful, it has a strong effect.",「強大的」事物具有強烈效果。,This perfume has a powerful scent.,這香水香味濃郁。,08_1958.jpg,08_1958.mp3,08_1958_meaning.mp3,08_1958_example.mp3
starch,stɑːrtʃ,澱粉,"Starch is a substance that provides your body with energy and is found in foods such as wheat, potatoes, and rice.",「澱粉」是提供身體能量的物質，存在於小麥、馬鈴薯、米等食物中。,Pasta is high in starch.,義大利麵富含澱粉。,08_1959.jpg,08_1959.mp3,08_1959_meaning.mp3,08_1959_example.mp3
summary,ˈsʌməri,摘要,A summary is a short statement that contains the main information about something.,「摘要」是包含某事主要資訊的簡短陳述。,Cindy concluded the meeting with a summary of the project.,辛蒂以專案摘要結束會議。,08_1960.jpg,08_1960.mp3,08_1960_meaning.mp3,08_1960_example.mp3
analytic,ˌænəˈlɪtɪk,分析的,"If something is analytic, it is related to logic and reasoning.",「分析的」事物與邏輯和推理有關。,The analytic article criticized the new plan and presented one of its own.,分析性文章批評新計畫並提出替代方案。,09_1961.jpg,09_1961.mp3,09_1961_meaning.mp3,09_1961_example.mp3
area,ˈeriə,區域,An area is a reasonably large place.,「區域」是相當大的地方。,He was very familiar with the local area.,他對當地非常熟悉。,09_1962.jpg,09_1962.mp3,09_1962_meaning.mp3,09_1962_example.mp3
bachelor,ˈbætʃələr,學士,A bachelor is an unmarried man.,「單身漢」是未婚男子。,"Since he was a bachelor, Jason did his shopping by himself.",因為是單身漢，傑森自己購物。,09_1963.jpg,09_1963.mp3,09_1963_meaning.mp3,09_1963_example.mp3
cognitive,ˈkɑːɡnətɪv,認知的,"If something is cognitive, it is related to learning and knowing things.",「認知的」事物與學習和理解有關。,"After her physical examination, her cognitive skills were tested.",身體檢查後，她的認知能力接受了測試。,09_1964.jpg,09_1964.mp3,09_1964_meaning.mp3,09_1964_example.mp3
collision,kəˈlɪʒn,碰撞,A collision is the act of two things hitting into each another.,「碰撞」是兩個物體互相撞擊的行為。,The collision between the two cars created a loud noise.,兩車相撞發出巨響。,09_1965.jpg,09_1965.mp3,09_1965_meaning.mp3,09_1965_example.mp3
competent,ˈkɑːmpɪtənt,有能力的,"If someone is competent, they are able to think or act successfully.",「有能力的」人能成功思考或行動。,Competent employees are much better than unknowledgeable ones.,有能力的員工遠勝於無知者。,09_1966.jpg,09_1966.mp3,09_1966_meaning.mp3,09_1966_example.mp3
diploma,dɪˈpləʊmə,文憑,A diploma is a certificate proving that someone has completed their studies.,「文憑」是證明某人完成學業的證書。,"After four years of college, Mary finally had a diploma.",瑪麗大學四年後終於拿到文憑。,09_1967.jpg,09_1967.mp3,09_1967_meaning.mp3,09_1967_example.mp3
excel,ɪkˈsel,擅長,To excel at a subject or activity means to be very good at it.,「擅長」某科目或活動是指在該領域非常出色。,Jenny excels at playing the piano.,珍妮鋼琴彈得非常好。,09_1968.jpg,09_1968.mp3,09_1968_meaning.mp3,09_1968_example.mp3
geology,dʒiˈɑːlədʒi,地質學,Geology is the study of the Earth’s natural structures and how they change.,「地質學」是研究地球自然結構及其變化的學科。,"Because he studied geology, he knew how the mountains were formed.",他因學地質學而知道山脈如何形成。,09_1969.jpg,09_1969.mp3,09_1969_meaning.mp3,09_1969_example.mp3
integral,ɪnˈteɡrəl,不可或缺的,Something that is integral is an important part of the whole.,「不可或缺的」事物是整體中重要的一部分。,She is an integral member of our team.,她是我們團隊不可或缺的成員。,09_1970.jpg,09_1970.mp3,09_1970_meaning.mp3,09_1970_example.mp3
intellect,ˈɪntəlekt,智力,An intellect is a person’s ability to understand things easily.,「智力」是人輕易理解事物的能力。,She was known for her quick and strong intellect as well as her beauty.,她以敏捷強大的才智和美貌聞名。,09_1971.jpg,09_1971.mp3,09_1971_meaning.mp3,09_1971_example.mp3
job,dʒɑːb,工作,Your job is the work you do to earn money.,「工作」是你為賺錢而做的事。,He now has a high-paying job.,他現在有份高薪工作。,09_1972.jpg,09_1972.mp3,09_1972_meaning.mp3,09_1972_example.mp3
keen,kiːn,敏銳的,"If someone is keen, they are intelligent.",「敏銳的」人很聰明。,Only a keen student could have solved that math problem.,只有敏銳的學生才能解出那道數學題。,09_1973.jpg,09_1973.mp3,09_1973_meaning.mp3,09_1973_example.mp3
minimum,ˈmɪnɪməm,最小值,The minimum is the smallest amount.,「最低限度」是最小的數量。,What is the minimum temperature in winter in this area?,這地區冬天最低溫是多少？,09_1974.jpg,09_1974.mp3,09_1974_meaning.mp3,09_1974_example.mp3
psychology,saɪˈkɑːlədʒi,心理學,Psychology involves the study of how the brain affects our thought and actions.,「心理學」研究大腦如何影響我們的思想與行為。,The psychology of seeing is a fascinating subject.,視覺心理學是個迷人的主題。,09_1975.jpg,09_1975.mp3,09_1975_meaning.mp3,09_1975_example.mp3
radioactive,ˌreɪdiəʊˈæktɪv,放射性的,"If something is radioactive, then it lets out, or is related to, radiation.",「放射性的」事物會釋放輻射或與輻射有關。,Radioactive states can be very bad for anyone’s health.,放射性狀態對健康非常有害。,09_1976.jpg,09_1976.mp3,09_1976_meaning.mp3,09_1976_example.mp3
relativity,ˌreləˈtɪvəti,相對論,Relativity is a set of ideas about time and space developed by Albert Einstein.,「相對論」是愛因斯坦提出的關於時間與空間的一套理論。,Relativity teaches that light travels at the same speed throughout the universe.,相對論指出光在宇宙中速度恆定。,09_1977.jpg,09_1977.mp3,09_1977_meaning.mp3,09_1977_example.mp3
sociology,ˌsəʊsiˈɑːlədʒi,社會學,"Sociology is the study of human society, its organizations, and problems.",「社會學」是研究人類社會、其組織與問題的學科。,Sociology teaches that people’s problems are a result of their society.,社會學指出人的問題源於社會。,09_1978.jpg,09_1978.mp3,09_1978_meaning.mp3,09_1978_example.mp3
theoretical,ˌθiːəˈretɪkl,理論的,"If something is theoretical, it is based on theory rather than experience.",「理論的」事物基於理論而非經驗。,His conclusion was only theoretical and not meant to be publicized.,他的結論僅屬理論，不打算公開。,09_1979.jpg,09_1979.mp3,09_1979_meaning.mp3,09_1979_example.mp3
weak,wiːk,虛弱的,"If someone is weak, they are not strong and healthy.",「虛弱的」人不強壯也不健康。,She is still weak after the illness.,她生病後仍很虛弱。,09_1980.jpg,09_1980.mp3,09_1980_meaning.mp3,09_1980_example.mp3
administrator,ədˈmɪnɪstreɪtər,管理員,"An administrator is a person who controls a business, company, or organization.",「管理者」是掌控企業、公司或組織的人。,Everyone in the store did whatever the administrator asked them to do.,店裡每個人都照管理員指示做事。,10_1981.jpg,10_1981.mp3,10_1981_meaning.mp3,10_1981_example.mp3
affluent,ˈæfluənt,富裕的,"If someone is affluent, they are wealthy.",「富裕的」人很有錢。,People in the city are usually more affluent than people in the country.,城市居民通常比鄉村居民富裕。,10_1982.jpg,10_1982.mp3,10_1982_meaning.mp3,10_1982_example.mp3
audit,ˈɔːdɪt,審計,To audit means to inspect financial records from a person or business.,「稽核」是指檢查個人或企業的財務記錄。,The government usually audits companies that report lower than usual incomes.,政府通常稽查申報收入偏低的公司。,10_1983.jpg,10_1983.mp3,10_1983_meaning.mp3,10_1983_example.mp3
automate,ˈɔːtəmeɪt,自動化,To automate something means to have machines or computers do the work.,「自動化」是指讓機器或電腦完成工作。,"When the bank automated, it started installing ATM machines.",銀行自動化後開始安裝ATM。,10_1984.jpg,10_1984.mp3,10_1984_meaning.mp3,10_1984_example.mp3
bribe,braɪb,賄賂,To bribe someone means to illegally persuade them for a favor with money.,「賄賂」是指用金錢非法說服他人幫忙。,The judge was bribed so that she would set the suspect free.,法官收賄後釋放嫌犯。,10_1985.jpg,10_1985.mp3,10_1985_meaning.mp3,10_1985_example.mp3
corrupt,kəˈrʌpt,腐敗的,"If someone is corrupt, they break the law for money or fame.",「腐敗的」人為金錢或名聲違法。,The corrupt policemen didn’t arrest the man because he gave them money.,腐敗警察因收賄而沒逮捕那人。,10_1986.jpg,10_1986.mp3,10_1986_meaning.mp3,10_1986_example.mp3
dispose,dɪˈspəʊz,處理,To dispose of something means to get rid of it.,「處理掉」某物是指將其丟棄。,He disposed of the can by throwing it into the recycle bin.,他把罐子扔進回收桶處理掉。,10_1987.jpg,10_1987.mp3,10_1987_meaning.mp3,10_1987_example.mp3
headquarters,ˈhedkwɔːrtərz,總部,A headquarters is a building where the bosses of a company work.,「總部」是公司主管辦公的大樓。,He took the long route to the headquarters because it was a nice day.,天氣好，他繞遠路去總部。,10_1988.jpg,10_1988.mp3,10_1988_meaning.mp3,10_1988_example.mp3
incentive,ɪnˈsentɪv,激勵,An incentive is what makes a person want to do something.,「誘因」是促使人想做某事的因素。,The chance of winning a prize was an incentive to get people to play the game.,贏獎機會激勵人們參與遊戲。,10_1989.jpg,10_1989.mp3,10_1989_meaning.mp3,10_1989_example.mp3
infrastructure,ˈɪnfrəstrʌktʃər,基礎設施,An infrastructure is a collection of services needed to run a society or business.,「基礎建設」是運作社會或企業所需的服務設施總和。,Power lines are important parts of a city’s infrastructure.,電線是城市基礎設施的重要部分。,10_1990.jpg,10_1990.mp3,10_1990_meaning.mp3,10_1990_example.mp3
legislate,ˈledʒɪsleɪt,立法,To legislate means to make laws.,「立法」是指制定法律。,Senators have to legislate fairly so most people will enjoy the benefits.,參議員需公平立法，讓多數人受益。,10_1991.jpg,10_1991.mp3,10_1991_meaning.mp3,10_1991_example.mp3
legitimate,lɪˈdʒɪtɪmət,合法的,"If something is legitimate, then it is acceptable according to the law.",「合法的」事物符合法律規定。,She found a legitimate plan to raise extra funds for her vacation.,她找到合法計畫為假期籌措額外資金。,10_1992.jpg,10_1992.mp3,10_1992_meaning.mp3,10_1992_example.mp3
manipulate,məˈnɪpjuleɪt,操縱,To manipulate something means to skillfully or unfairly control or affect it.,「操縱」是指巧妙或不公正地控制或影響某事。,The doctor manipulated the data to make it look like the cure was working.,醫生操縱數據讓療效看起來有效。,10_1993.jpg,10_1993.mp3,10_1993_meaning.mp3,10_1993_example.mp3
merchandise,ˈmɜːtʃəndaɪz,商品,Merchandise is goods ready to be purchased or sold.,「商品」是準備好出售或購買的貨品。,The store added more merchandise because there were more shoppers.,商店因顧客增多而增加商品。,10_1994.jpg,10_1994.mp3,10_1994_meaning.mp3,10_1994_example.mp3
retail,rːteil,零售,"Retail is the activity of selling goods to the public, often for personal use.",「零售」是向大眾銷售商品（通常供個人使用）的活動。,"Although cheap to make, once a t-shirt reaches retail, it costs ten times as much.",T恤成本低廉，但零售價卻高出十倍。,10_1995.jpg,10_1995.mp3,10_1995_meaning.mp3,10_1995_example.mp3
revenue,ˈrevənuː,收入,Revenue is the income made by a company.,「收入」是公司賺取的金錢。,The new products really increased the business’s monthly revenue.,新產品大幅提高公司月營收。,10_1996.jpg,10_1996.mp3,10_1996_meaning.mp3,10_1996_example.mp3
rubbish,ˈrʌbɪʃ,垃圾,Rubbish is trash or waste.,「垃圾」是廢棄物。,The floor around the garbage can was covered with all kinds of rubbish.,垃圾桶周圍地板堆滿各種垃圾。,10_1997.jpg,10_1997.mp3,10_1997_meaning.mp3,10_1997_example.mp3
subsidy,ˈsʌbsədi,補貼,A subsidy is money given by the government to companies to assist them.,「補貼」是政府給予企業的資助款項。,The official gave the company a subsidy so it could open two new factories.,官員補助公司開設兩家新工廠。,10_1998.jpg,10_1998.mp3,10_1998_meaning.mp3,10_1998_example.mp3
transaction,trænˈzækʃn,交易,A transaction is an act of buying or selling something.,「交易」是買賣某物的行為。,"Because the clerk was new at the job, the simple transaction took a long time.",因店員是新人，簡單交易花了很久。,10_1999.jpg,10_1999.mp3,10_1999_meaning.mp3,10_1999_example.mp3
violate,ˈvaɪəleɪt,違反,"To violate a law, rule, or agreement means to break it.",「違反」法律、規則或協議是指破壞它們。,I was given a ticket because the policeman said I violated a traffic law.,警察說我違反交通法，所以我被開罰單。,10_2000.jpg,10_2000.mp3,10_2000_meaning.mp3,10_2000_example.mp3
assess,əˈses,評估,"To assess something means to judge the structure, purpose, or quality of it.",「評估」某物是指判斷其結構、目的或品質。,She assessed the condition of the toy car before buying it.,她買玩具車前先評估狀況。,11_2001.jpg,11_2001.mp3,11_2001_meaning.mp3,11_2001_example.mp3
astonish,əˈstɑːnɪʃ,使驚訝,To astonish someone means to greatly surprise them.,「使驚訝」是指讓某人非常吃驚。,The number of people that came to her party astonished her.,來她派對的人數讓她驚訝。,11_2002.jpg,11_2002.mp3,11_2002_meaning.mp3,11_2002_example.mp3
commence,kəˈmens,開始,To commence something means to begin it.,「開始」某事是指啟動它。,His speech commenced with a “thank you” to all who had helped him succeed.,他的演講以感謝所有幫助他成功的人開始。,11_2003.jpg,11_2003.mp3,11_2003_meaning.mp3,11_2003_example.mp3
essence,ˈesns,本質,The essence of something is its important qualities or basic characteristics.,「本質」是某物的重要特質或基本特徵。,The essence of the argument was that both sides felt they had lost money.,爭論的核心是雙方都覺得虧錢。,11_2004.jpg,11_2004.mp3,11_2004_meaning.mp3,11_2004_example.mp3
extract,ˈekstrækt,提取,To extract something means to remove it.,「提取」某物是指將其取出。,The dentist extracted the woman’s damaged tooth and put in a fake one.,牙醫拔掉她損壞的牙齒並裝上假牙。,11_2005.jpg,11_2005.mp3,11_2005_meaning.mp3,11_2005_example.mp3
fabulous,ˈfæbjələs,極好的,"If something is fabulous, it is extremely good.",「極好的」事物非常出色。,This strawberry is the best I’ve ever had. It’s fabulous.,這草莓是我吃過最棒的，太讚了！,11_2006.jpg,11_2006.mp3,11_2006_meaning.mp3,11_2006_example.mp3
haste,heɪst,匆忙,Haste is speed in movement or action.,「匆忙」是行動或動作上的迅速。,"In order to get to the meeting in time, he proceeded with haste.",為準時赴會，他匆忙趕路。,11_2007.jpg,11_2007.mp3,11_2007_meaning.mp3,11_2007_example.mp3
impulse,ˈɪmpʌls,衝動,An impulse is a sudden thoughtless urge to do something.,「衝動」是突然且未經思考就想做某事的慾望。,"Because of the scary noise, she had an impulse to run somewhere and hide.",因恐怖聲響，她衝動想逃跑躲藏。,11_2008.jpg,11_2008.mp3,11_2008_meaning.mp3,11_2008_example.mp3
inhibit,ɪnˈhɪbɪt,抑制,"When you inhibit something, you stop it from developing.",「抑制」某事是指阻止其發展。,Poor reading skills will inhibit learning in a wide range of subject areas.,閱讀能力差會妨礙多領域學習。,11_2009.jpg,11_2009.mp3,11_2009_meaning.mp3,11_2009_example.mp3
latter,ˈlætər,後者的,Latter describes something last in a series or the second choice of two things.,「後者」指一系列中最後的，或兩者中的第二個。,"In the latter minutes of the game, the visitors scored the winning goal.",比賽最後幾分鐘，客隊攻入致勝球。,11_2010.jpg,11_2010.mp3,11_2010_meaning.mp3,11_2010_example.mp3
molecule,ˈmɑːlɪkjuːl,分子,A molecule is the smallest basic unit that makes up a physical substance.,「分子」是構成物質的最小基本單位。,A tiny drop of water is made up of many billions of molecules of water.,一滴水由數十億水分子組成。,11_2011.jpg,11_2011.mp3,11_2011_meaning.mp3,11_2011_example.mp3
ongoing,ˈɑːnɡəʊɪŋ,持續的,"If something is ongoing, then it is still happening or still growing.",「持續進行的」事物仍在發生或發展中。,The development of plants is ongoing because it takes time for them to mature.,植物生長是持續過程，因成熟需時間。,11_2012.jpg,11_2012.mp3,11_2012_meaning.mp3,11_2012_example.mp3
precise,prɪˈsaɪs,精確的,"If someone is precise, then they are exact and careful about their work.",「精確的」人做事準確且謹慎。,The builder was very precise about where he placed the nails.,建築工人釘釘子的位置非常精確。,11_2013.jpg,11_2013.mp3,11_2013_meaning.mp3,11_2013_example.mp3
proximity,prɑːkˈsɪməti,接近,"Proximity is closeness in time, space, or relationships.",「接近」是指在時間、空間或關係上的親近。,All the trees in the proximity of the beach had been cut down.,海灘附近的樹全被砍光。,11_2014.jpg,11_2014.mp3,11_2014_meaning.mp3,11_2014_example.mp3
publicity,pʌbˈlɪsəti,宣傳,Publicity is public attention given to someone or something by the media.,「宣傳」是媒體給予某人或某事的公眾關注。,She received a lot of publicity after her performance in the film.,她因電影演出獲得大量曝光。,11_2015.jpg,11_2015.mp3,11_2015_meaning.mp3,11_2015_example.mp3
remedy,ˈremədi,補救方法,"A remedy is a cure for a disease, argument, or problem.",「解決辦法」是治療疾病、化解爭議或解決問題的方法。,A good remedy for a headache is an aspirin and a glass of water.,治療頭痛的好方法是吃阿斯匹靈配一杯水。,11_2016.jpg,11_2016.mp3,11_2016_meaning.mp3,11_2016_example.mp3
significance,sɪɡˈnɪfɪkəns,重要性,The significance of something is the quality that makes it important.,「重要性」是使某事重要的特質。,The significance of the snowy weather was that we didn’t have to go to school.,下雪的意義在於我們不用上學。,11_2017.jpg,11_2017.mp3,11_2017_meaning.mp3,11_2017_example.mp3
subsequent,ˈsʌbsɪkwənt,隨後的,"If something is subsequent, then it comes after something else in time.",「隨後的」事物在時間上緊接在另一事物之後。,The flood and the subsequent rescue of those caught in the flood were on TV.,洪水及後續救援行動都在電視播出。,11_2018.jpg,11_2018.mp3,11_2018_meaning.mp3,11_2018_example.mp3
